id,sequence_no,speaker,text
TS_EC_Q2_FY2025_0011,11,Milind Lakkad,"Thank you, Samir. Our workforce at the end of second quarter was 612,724. We added net 5,726 associates this quarter after adding a similar number last quarter also. We remain on track for fresher on boarding as planned for the year and have also commenced the process for recruiting freshers through the National Qualifier Test for FY'26. Our workforce continues to be well diverse, with 150 nationalities represented and woman making 35.5% of the base. We continue our focus on acquiring quality talent. Our current trainee hiring is segmented with differential compensation for each segment. This year, we have more than doubled our intake of higher cadre trainees. Training intensity has increased across the organization. Employees logged 26.1 million learning hours year-to-date and acquired 2.6 million competencies. Education and skill development are also part of our core themes under the community initiatives that we work on. All our efforts are reflected in our retention rates which are one of the best amongst industry peers. Our LTM Attrition in IT services fell further to 12.3% which is in our comfort range of 11% to 13%. I will now request Krithi to speak on the various demand drivers during the quarter."
TS_EC_Q2_FY2025_0012,12,K Krithivasan,"Thank you, Milind. I am pleased to see some signs of improvement, most notably in financial services in North America, in an environment of global uncertainties. Our diversified portfolio and early investments in growth markets are bearing fruit. All the growth markets continue to grow above company average. However, as a general trend in the major market, the demand outlook continues to remain cautious, as seen in the last few quarters."
TS_EC_Q2_FY2025_0013,13,Key business themes seen across industries were,"cost optimization, vendor consolidation, customer experience transformation, supply chain modernization, risk and resiliency. Globally, clients continue to prioritize efficiency through cost transformation programs and demand for discretionary deals with low immediate ROI remained relatively subdued. Some recent trends that we are seeing in our major segments are: In BFSI, financial institutions in the US are looking at sustaining the growth momentum with the Fed's first trade cut in four years. Stability in the macro brings initial signs of confidence. With the easing of interest rate environment, consumer confidence and industry confidence will get better. This can potentially lead to improved investment. Customers are focused on operational efficiency and upgrade for the future with an eye on efficiency and automation. While pipeline continues to remain strong, we are yet to see large transformational deals in the BFSI. TCS partnered with Tryg in the complex M&A integration journey following the Trygg-Hansa acquisition. TCS combined its M&A capabilities and deep contextual knowledge of Tryg business landscape to ensure a smooth IT integration within the stipulated time frame. The entire IT estate of Trygg-Hansa was demerged and unified with minimum disruption to business. Post this integration, Trygg-Hansa user experience has been elevated, and Tryg has been able to realize significant commercial synergies from the M&A. It has also enabled Tryg to focus on growth in the Swedish market, while further unlocking operational efficiencies through consolidation and transformation. In Consumer Business Group, growth was led by TTH which saw demand for customer engagement and hyper-personalization, business process transformation, SaaS platform implementation and Gen AI as key focus themes. In the Retail sector, customers are taking a cautious approach due to the macro-economic and geopolitical situation. Consumer spending during the coming holiday season will also play a crucial role in determining budgets towards transformation initiatives. Retailers are likely to wait and watch for these parameters and factor these into their planning for the next fiscal. Supply chain transformation continues to be a key priority, attracting investments from customers in addition to customer experience and M&A. As an example, a leading US super centre chain partnered with TCS to modernize and transform their supply chain process. The client faced several challenges with the existing virus management system, including system latency, inefficient product floating, work allocation, scheduling and insufficient decision support. TCS conducted design thinking shops, and implemented a user-centred modular, fully automated data-driven cloud-based system, integrating approximately 40 diverse applications to cover the end-to-end process. This has improved efficiency by 97%, increased agility and scalability to handle surges in demand, enable 5x faster deployment at new facilities, increased flexibility to accommodate diverse and evolving business needs, thereby improving sales, time to market and overall customer experience. In Manufacturing, we are seeing some pressure in the near term. Labor and supply side constraints are impacting the industry. However, barring these areas of concern, manufacturing continues to see a strong demand environment and deal pipeline. Smart manufacturing and software-defined vehicles are the two mega long-term trends. TCS showcased its commitment to a sustainable and technologically advanced future for the aerospace industry at Farnborough International Airshow in 2024. Cutting edge solutions designed to solve critical industry challenges were on display, including Generative AI for supply chain and immersive MRO experience and exploration of quantum computing in aviation. These innovations underlying thesis dedication to pushing technological boundaries and shaping ""Future-Ready Skies."" In Life Sciences and Healthcare, we had client-specific headwinds in the US geography, resulting in significant impact. We expect the headwinds to stabilize in Q3 and return to growth in Q4. The tech software and services vertical saw sequential growth for the second consecutive quarter. Cost and efficiency remain the top priority for tech software and services customers, and they continue to be cautious on capex investments and transformation initiatives. In CMI, telecom and media firms are keeping a keen continued focus on bottom line impact, doing more with less. ROI expectations continue to remain heightened. Moving on to service lines, growth this quarter was driven by Cybersecurity, AI.Cloud and TCS Interactive. With increasing sophistication, ransom ware, phishing and data breaches, the enterprises are required to invest in advanced cybersecurity measures, including threat intelligence, endpoint security and incident response plans. Artificial intelligence is aiding the sophistication of cybercrime making it imperative for financial institutions to stay ahead of the core. TCS partnered with one of the largest ground handling companies based in Europe to help them improve their cybersecurity maturity and reduce risk exposure. TCS enabled comprehensive visibility of the enterprise cyber risk landscape, which enabled the customer to measure the efficacy of their security operations, establish better control and governance on key security programs and track their returns on cybersecurity investments. On Cloud front, we continue to see good growth in legacy modernization, data platform modernization and technology landscape simplification. Over the past two years, companies have significantly increased their investments in AI and Generative AI. They are focusing on using these technologies strategically to drive business value and are becoming more aware of ethical considerations. Talent development and navigating the regulatory landscape are also key areas of focus. While challenges remain, the potential benefits of AI and Generative AI are driving continued adoption and innovation. On AI/Generative AI, companies have moved past the point of experimentation through proofs of concepts and are increasingly viewing AI and Generative AI as strategic assets, integrating them into the entire value chain. We are now helping our most mature customers set up interdisciplinary AI offices where business and technology come together to rapidly turn ideas to AI POCs and scale them to production in an agile manner. There is also a growing interest in using Generative AI throughout the software development life cycle, including legacy migration and modernization initiatives across all industries. TCS was selected by the UK entity of a leading global insurer to transform its IT organization to meet the strategic growth objectives. As part of the multiyear partnership, TCS will help set up a future-proof operating model built on enterprise-wise distributed Agile. From modernizing the core insurance systems to developing a cloud-native modular platform and embedding Generative AI across the software development life cycle and business value chain, TCS will drive multiple traditional and disruptive initiatives. The program will enable the insurer to enhance productivity and improved customer experience, while growing its market share in the region. Openreach, UK's largest telecom infrastructure company has selected TCS as its strategic partner for the business operations transformation of the national rollout of next-gen fibre network. This managed services deal solidifies our role as a trusted partner in end-to-end network transformation journey, delivering superior services for their flagship broadband business, business customers, while optimizing cost of network build, minimizing and shortening of production cycles. TCS will harness its unparalleled contextual expertise and domain knowledge of Generative AI and cloud-led innovations to deliver efficient operations. A leading global FMCG company has engaged TCS to transform their global quality management. With contextual knowledge of the client's quality management, TCS implemented a Generative AI solution that extracts value from millions of consumer feedback in over 230 languages for accurate translation and contact preservation, sentiment tagging, root cause identification, feedback classification and prioritization. This has increased operational efficiency by over 50% and is delivering actionable insights, enabling improved product quality management, brand perception and customer engagement. A global hospitality company partnered with TCS to improve its contract management processes. TCS utilized Generative AI model trained with diverse regional data to analyse contracts, identify differences in contract terms and streamline data extraction. This will improve audit efficiency and delivers approximately 17,000 person days, saving in manual effort, allowing experts to focus on higher-value activities. We are seeing the rise of AI infused service lines rather than stand-alone AI demand. The re-imagination of contact centres with AI, for example, is showing a very strong trend. Similarly, AI re-imagined business process services and AI powered cloud modernization are also seeing strong traction. So, it is safe to say that AI is now an integral part of everything we do and will continue to significantly benefit almost all services in the coming quarters. Coming to our long-term growth strategy, We are investing significantly to create a large footprint in emerging growth markets. Top bets include India, APAC, Latin America and Middle East and Africa. We believe these markets are likely to turn into a sustainable driver of long-term growth. A scalable presence in these markets is likely to provide the muscle for growth in TCS overall business over the next couple of decades. We are establishing robust partnership with our ISV and other ecosystem partners to drive unparalleled efficiency in our operations across applications, infrastructure, engineering and business operations for our customers. Our client relationships are more about building resilience together. As we face unprecedented global challenges, the strategic approach to collaboration will prove crucial for long-term success and improving market share. TCV in Q2 was at $8.6 billion. The BFSI TCV was at $2.9 billion, while TCV for our consumer business group was at $1.2 billion. The TCV of deals signed in North America stood at $4.4 billion. The gradual easing of inflation in the major markets, improving macroeconomic trends and expectations of a good holiday season spend among consumers give us hope and optimism around the prospect of improved discretionary spend and capital investments by our customers, which should bode well for our business. Thank you. We can now open the line for questions."
TS_EC_Q2_FY2025_0014,14,Moderator,Thank you very much. We will now begin the Question & Answer session. We'll take our first question from the line of Ankur Rudra from JPMorgan. Please go ahead.
TS_EC_Q2_FY2025_0015,15,Ankur Rudra,"Thank you very much for taking my question. Just maybe a few questions, maybe starting with demand. It seems like this was a challenging quarter for international business, slightly soft on our headline numbers and also signings. Could you maybe elaborate in terms of the nature of demand environment? Has it begun to perhaps deteriorate overall after a couple of promising quarters? And should one assume that recovery perhaps had pushed out a bit from here?"
TS_EC_Q2_FY2025_0016,16,K Krithivasan,"Thanks, Ankur. As we explained, demand continues to be around areas of cost optimization and discretionary spend demand stays where it was and in fact, what we saw is in some of the cases, the deal duration has slightly increased. But otherwise, we don't see a demand drop in a big way. We also mentioned that BFSI North America has done well this quarter. Tech and Services has done well for the second consecutive quarter. We had challenges in a couple of accounts in Life Sciences and Health Care, more client-specific where we were quite big, and large account in UK as well. So, barring those instances which are more client specific, I would say the environment has been quite similar to the previous quarter."
TS_EC_Q2_FY2025_0017,17,Ankur Rudra,"Okay. Thank you, Krithi. And maybe just on Financial services, if you could dig in a bit deeper and add some more colour in terms of which are the segments of the broader Financial services portfolio where you're seeing strength? And I think you also mentioned Manufacturing a little bit concerned if you can elaborate on that one as well. Thank you."
TS_EC_Q2_FY2025_0018,18,K Krithivasan,"Yes, what is your question, Ankur, on Manufacturing?"
TS_EC_Q2_FY2025_0019,19,Ankur Rudra,"I think there was some comment that Manufacturing has begun to see some signs of weakness, I was just curious if you could add to that?"
TS_EC_Q2_FY2025_0020,20,K Krithivasan,"Okay. First on BFSI, in North America, we see all around growth. Actually, both North America and Europe, UK, we see good growth in banking. And capital markets have been weak. Insurance has grown and regulations and risk and compliance have also grown in banking. And then Europe, it's more or less very similar trend. UK, again, the capital markets has always been a problem. But also, as I said, the UK is probably more a customer-specific situation than an overall trend. Otherwise the good thing is banking is coming up. Insurance is coming up, which we hope will sustain in the coming quarters. In manufacturing, what we mentioned is there is an overall supply chain issue, like because of that it's impacting the demand situation. But we believe it will be a short term issue. And once these issues are resolved, we expect our demand to pick up in the coming quarters --because many of our customers have long order book. And their health is strong, and the order book is strong for our customers."
TS_EC_Q2_FY2025_0021,21,Ankur Rudra,"Thank you so much. Just if I can squeeze in a last question on margins. Clearly, there's been a lot of moving parts this time. Maybe the first part of the question would be, if you could highlight the -- I mean there appears to be a bit of a margin trade-off here going through at least on the CMT side, perhaps because of one deal. Are they expected to be any sort of synergies? Is the worst of that deal margin impact behind us? Number one. Number two, overall, if I look at segmental margins, both on manufacturing and CMT, both are opposite directions of significantly out of long-term trends. How long will that last? When will we see this coming back to long-term trends?"
TS_EC_Q2_FY2025_0022,22,Samir Seksaria,"So, let me give you the margin break-up, and that will cover most of your first part of the question. So, margins at 24.1% are a sequential decline of 60 basis points. And the headwinds were in form of the higher third-party expenses on account of a large transformational project. And that project is running at its peak. And that impact is about 60 basis points. We had incremental investments in talent and infrastructure, that combined impact was about 70 basis points, and this was offset by mainly currency and some one-offs not recurring from Q1. Your second part of the question in terms of segmental margins, the CMT one, as you called out, the large projects’ transformational impact does reflect out here. There's nothing else to call out. The trends on the overall margin versus on the segmental one except for in the CMT vertical are on similar sides, one or two segments had a slight positive."
TS_EC_Q2_FY2025_0023,23,Moderator,We'll take our next question from the line of Apurva Prasad from HDFC Securities.
TS_EC_Q2_FY2025_0024,24,Apurva Prasad,"Thank you for taking my question. As a first off, deepest condolences from my side, too. Krithi, just to tie in with your comments of improvement in discretionary and optimism going forward, how should we think of growth visibility or acceleration beyond the current calendar, especially in absence of mega deals. If I look at bookings for the first half TCV, it's down 20% of course, with no mega deals that is compared to the comparable period earlier. So, any comments on how is the pipeline around some of those mega deals and/or the ACV and duration of what you've been booking?"
TS_EC_Q2_FY2025_0025,25,K Krithivasan,"Apurva, on the TCV front, as you would see, it's better than Q1 and like we explained last quarter and the previous quarters also, TCV always has some lumpiness, like what we expect to close in the last quarter sometimes gets pushed to the subsequent quarter and we have always been maintaining that $7 billion to $9 billion TCV is a comfort range and particularly in the absence of a mega deal. If you were comparing with last year Q2, we had mega deals amounting to almost $2 billion. So, in the absence of those mega deals, I think it's a comfortable number, and from a pipeline perspective, our pipeline is nearly at an all-time high and both what we call a qualified pipeline and the overall pipeline. The pipeline is strong across all geographies and industries. TCV is within our comfort range, and it has shown signs of improvement. And as I said, it may not easily be comparable with last year because we had 2 mega deals also come in last year."
TS_EC_Q2_FY2025_0026,26,Apurva Prasad,"Secondly, how much of the weakness this quarter relative to the previous quarter is sort of emblematic of macro versus the temporary client-specific factors that you mentioned. How long is this expected to last?"
TS_EC_Q2_FY2025_0027,27,K Krithivasan,"The overall trend on the demand environment has remained stable compared to last quarter. There are 2 to 3 accounts where we had some client-specific situation, but all happening at the same quarter is probably a little unfortunate for us. But I think that is a one quarter phenomenon, so we should rebound from that situation. So that's the way I would put it. I won't be able to split between how much is the overall environment specific and how much is client specific. But we are confident that in near term, probably Q3 is also a seasonally weak quarter, but Q4 onwards, these factors should ease out."
TS_EC_Q2_FY2025_0028,28,Apurva Prasad,"And just finally, how is the GenAI pipeline converting to bookings and revenue, especially as one of your competitors is talked of numbers, which is not too different from our own pipeline. So, if you could comment on that in terms of how integral it is becoming part of deals? And just finally, on margins, Samir, how much of the long-term growth strategy in growth markets, how should we think about margins from that point of view?"
TS_EC_Q2_FY2025_0029,29,K Krithivasan,"See, we have not been disclosing the AI / GenAI TCV, but it has been improving very well, almost doubling every quarter and the pipeline also remains very strong. As of this quarter, the engagements in AI/ GenAI, including the POCs, POVs, and production, we are doing more than 600 engagements, which increased from almost 270 last quarter. It's a very significant increase in the number of engagements. And we saw engagements that went into production also jump, which is a sign of maturity. Last quarter, we had 8 engagements that went into production. And this quarter, we have almost 86 engagements going into production. So, we are finding all-round improvement and becoming mainstream. And also, the quality of engagements, like we have always been talking about engagements in terms of Assist, Augment, and Transform and we're seeing more and more engagements in the higher order of Generative AI, namely Augment and Transform. We unveiled our WisdomNext™ platform and that's also getting a lot of traction with the customers. So, we are quite comfortable and pleased."
TS_EC_Q2_FY2025_0030,30,Samir Seksaria,"Apurva, Samir here. From a long-term perspective, we stay committed to our 26 to 28% guiding beacon, and that will factor in any big bets, whether it is growth markets or anything else, which we'll be taking into account. On an overall portfolio basis, we'd like to deliver the guiding beacon which we talk about."
TS_EC_Q2_FY2025_0031,31,Apurva Prasad,Thank you.
TS_EC_Q2_FY2025_0032,32,Moderator,Thank you. We'll take our next question from the line of Sandeep Shah from Equirus Securities. Please go ahead.
TS_EC_Q2_FY2025_0033,33,Sandeep Shah,"Yes. Thanks for the opportunity and deepest condolence for TCS and Tata Group. Krithi, just some bookkeeping questions. I wanted to understand and reconcile as you are saying, the BFSI has been showing signs of revival in the US and North America, but this quarter, North America as a region has not shown a growth, while Europe has shown a growth. So, can you reconcile, is it fair to say challenges in non-BFSI segment are bigger in North America?"
TS_EC_Q2_FY2025_0034,34,K Krithivasan,"Yes. So, what you said like if I split BFSI across geographies, North America has done well. And I did mention that there is a softness in the UK and Europe because of a client situation for us. But the overall BFSI still continued to grow. And the other geography, I did talk about life sciences and health care, in North America having a softness because of one-off client issues. So that probably dragged the overall North America revenue growth. Similarly, like the BFSI growth in Europe has held in while few other verticals have been soft in Europe, the growth of BFSI has helped overall Europe growth as well."
TS_EC_Q2_FY2025_0035,35,Sandeep Shah,"Okay. And just on the BSNL deal, one of the comments of CFO has been it's at a peak rate. So is it fair to assume BSNL deal revenue in the second half would be materially lower versus first half? And this could be a growth headwind in the second half on a consolidated level?"
TS_EC_Q2_FY2025_0036,36,Samir Seksaria,"So, Sandeep, it's running at its peak and we would expect maybe a quarter more where it would remain at similar levels. And as you rightly know, the transformational program is going on, then revenue will start tapering down."
TS_EC_Q2_FY2025_0037,37,Sandeep Shah,"Okay. So, this would also be a margin tailwind in the fourth quarter, maybe third quarter could be, again, a difficult quarter in terms of showing upward trend on the margins?"
TS_EC_Q2_FY2025_0038,38,Samir Seksaria,"So, while we don't call out deal specific margins, but as you rightly pointed out, third-party expenses are incrementally going up as part of the deal. So, once it starts tapering, that should reflect on both revenue and margins."
TS_EC_Q2_FY2025_0039,39,Sandeep Shah,"Okay. And the last question with the tax ruling change on the buyback, how are we looking at capital allocation? Are we still looking in terms of incline towards buyback or we are more inclined towards dividend?"
TS_EC_Q2_FY2025_0040,40,Samir Seksaria,"So overall, our capital allocation in terms of returning back substantial free cash flows back to our shareholders remains the same. The Board considers in terms of the mechanism of it, whether it should be buyback or special dividend, taking into account preferences of various varied group of stakeholders or shareholders, which we have, and they will take a decision based on that, when it is taken up for consideration."
TS_EC_Q2_FY2025_0041,41,Sandeep Shah,Okay. Thank you and all the best.
TS_EC_Q2_FY2025_0042,42,Moderator,Thank you. We'll take our next question from the line of Vibhor Singhal from Nuvama Equities. Please go ahead.
TS_EC_Q2_FY2025_0043,43,Vibhor Singhal,"Good evening. Thanks for taking my question. So, Krithi, just to dwell a bit more on North America. If I look strictly in terms of dollar revenue terms, we fell by almost $60 million in our North America revenue, almost half of it assuming came from the health care segment, which was down almost $28 million. So, which are the other verticals in which we saw some kind of weakness in US specifically? And was that also of a similar nature like health care or client-specific issue which you expect to may be recover in a couple of quarters? Or do you think there is a more structural issue to some of the shortfall in the revenue, maybe like the telecom sector?"
TS_EC_Q2_FY2025_0044,44,K Krithivasan,"From a client-specific perspective, we called out it's essentially what we saw in health care. It's a life sciences’ client-specific issue. We saw growth coming up in BFSI. We had growth come up in Energy, Resources, Utilities also and even Technology and Software Services grew. And in the Consumer Business Group, we had issues in terms of demand being slightly soft because of the discretionary spend cut. And we also saw in manufacturing some labour and supply side challenges in near term. Telecom has been a slightly long-term trend. We are hoping that it will recover once the interest rate environment becomes better, there will be motivation to invest on the capex. We are hoping for a good holiday season, having a good holiday season would be good trigger for investment to resume in Consumer industry."
TS_EC_Q2_FY2025_0045,45,Vibhor Singhal,"Got it. So, by that count should -- are we sticking to the commentary that we mentioned last quarter, the retail sector has also possibly bottomed out for us and next quarter onwards, we could see some green shoots in that sector as well?"
TS_EC_Q2_FY2025_0046,46,K Krithivasan,"For next year, we are hoping we can…because these macro uncertainties ease and economic environment improves, we are hoping things should start improving. At this time, it's only half the year is over. It will be too early for me to call out if next year is better than this year, but we are hoping for the situation to improve with all the macros also improving."
TS_EC_Q2_FY2025_0047,47,Vibhor Singhal,"Got it, Krithi. Thank you so much. Just one last question from my side on the headcount addition. I think another quarter of strong headcount addition. So how to read into this going forward? I mean are we looking at maybe it's not similar, but still a positive headcount addition in the coming quarters? Is that more related to the kind of growth demand environment that you are seeing? Or is it just a backfill of the negative number that we had for the past three to four quarters?"
TS_EC_Q2_FY2025_0048,48,Milind Lakkad,"I think we will from a trainee addition standpoint, which is our strategic addition, I think that we'll continue to hire freshers in the coming quarters, including Q3. Now for other lateral intake from the market we'll decide based on the market situation."
TS_EC_Q2_FY2025_0049,49,Vibhor Singhal,"Got it. So, on the lateral side, is it like we are focusing on specific technologies that we are looking to hiring? I know we kind of gave a number that we've trained so many people on GenAI, is that the area that you're looking to hire lateral people or is it more across the board?"
TS_EC_Q2_FY2025_0050,50,Milind Lakkad,"See, we are working on various technologies and various transformational programs which are across technologies, right, from SAP S4/HANA to GenAI to very specific skill sets on certain projects. All of that is something we continue to hire in the quarter."
TS_EC_Q2_FY2025_0051,51,Vibhor Singhal,Got it. Thank you so much. Thanks for taking my questions and I wish you all the best.
TS_EC_Q2_FY2025_0052,52,Milind Lakkad,Thank you.
TS_EC_Q2_FY2025_0053,53,Moderator,Thank you. We'll take our next question from the line of Kawaljeet Saluja from Kotak Securities. Please go ahead.
TS_EC_Q2_FY2025_0054,54,Kawaljeet Saluja,"A couple of questions actually from my side. One, Krithi, how's the furlough situation going to be this year from the initial conversation with clients? Is it any different than what you have seen in earlier years?"
TS_EC_Q2_FY2025_0055,55,K Krithivasan,"Okay. On furlough, we at this time from whatever we know, it's similar to last year. We don't expect this to be any different compared to last year."
TS_EC_Q2_FY2025_0056,56,Kawaljeet Saluja,"Got that. The second question is on the BSNL deal. Now there are various numbers -- I mean, various sizes, which are being discussed. I think your company announced a $1 billion in terms of deal size. Whereas when I read your annual report, there was a specific mention of an additional 20,000 sites, which will be rolled out as part of deployment. I'm just trying to understand the overall size of the scope of the deal. And if it's a $1 billion, then I guess in the last four quarters itself, the bidding would have reached around $750 million, so with that as a backdrop, how do you end up with, let's say, flattish deployment or another quarter of strong robust revenue from BSNL in the December quarter?"
TS_EC_Q2_FY2025_0057,57,Samir Seksaria,"Kawal, overall, 100,000 sites need to be deployed. We are around the halfway mark on that. And that is the incremental information we can share on it. There is still scope to go and like we have been sharing in the past, the entire scope of deal is from manufacturing, installation and beyond in terms of acceptance. So, there are various milestones also which are intermediately built into the deal. I will not be able to comment on how much of it is already recognized, but back calculations probably can be done. But on client-specific color, we'll abstain from giving specific revenue numbers."
TS_EC_Q2_FY2025_0058,58,Kawaljeet Saluja,"Got it. Now Samir on this, specifically, when you look at the revenue dynamics, right, these large transformation contracts, the revenue profitability dynamics may not be synchronized at least from the financials, when I look at the CMT vertical, the absolute EBIT has been flat, whereas the revenues have grown, leading to an impression that it's been no margin kind of a business. Does this dynamic change as the transformation program hit specific milestones here?"
TS_EC_Q2_FY2025_0059,59,Samir Seksaria,"During the transformation program, we don't expect the dynamics to change considerably."
TS_EC_Q2_FY2025_0060,60,Kawaljeet Saluja,"Fair enough. The last question that I had is for Krithi, again. Krithi, you mentioned client-specific challenge. Actually, can you just elaborate what this client-specific challenge would be? And did it have any margin impact?"
TS_EC_Q2_FY2025_0061,61,K Krithivasan,"No. In this particular case, we had a scope reduction. We had a very significant presence, and the client had a more abrupt scope reduction, leading into our revenue decline."
TS_EC_Q2_FY2025_0062,62,Kawaljeet Saluja,"But does that scope change, let's say, as you move early into the next year or is it just..."
