id,sequence_no,speaker,text
TS_EC_Q3_FY2024_0012,12,Samir Seksaria,"Thank you, Krithi. Good day and wishing all of you a great start to the new year. In the third quarter of FY '24, our revenues were ₹60,583 crores, which is a Year-on-Year (Y-o-Y) growth of 4.0%. In dollar terms, the revenue was $7.28 billion, a Y-o-Y growth of 2.9% and in CC terms, the Y-o-Y growth was 1.7%. Let me now go over our financial performance. Our operating margin is at 25%, a sequential expansion of 75 basis points, comprising 80 basis points headwind on account of seasonal furloughs and higher third-party expenses offset by 60 basis points improvement on account of efficiency improvements through  productivity  and  realization  and  a  further  70  basis  points improvement from reduction in subcontractor expenses. Currency gains accounted for the remaining 25 bps. Net income margin in Q3 was 19.4%. Our EPS grew 8.4% on a Y-o-Y basis. Effective tax rate stayed unchanged at 25.8%. Our accounts receivable increased by 2 days sequentially at 67 days sales outstanding in dollar terms. Net cash from operations was ₹112.76 billion, which is a cash conversion of 102%. Free cash flows were ₹103.52 billion and invested funds at the end of the period stood at ₹457.31 billion. The Board has recommended an interim dividend of ₹27 per share, including a special dividend of ₹18 per share. The company successfully completed its 5th buyback during the quarter. Shareholder payouts year till date were at ₹46,223 crores between the buybacks, dividends and taxes, including the recommended dividend for the quarter. Please note that in Q3, we recorded $125 million towards settlement of legal claim, as an extraordinary item for the three months and 9 months ending December 31, 2023. All the above comparisons and commentary in this management call will exclude this extraordinary adjustment. Over to you, Milind."
TS_EC_Q3_FY2024_0013,13,Milind Lakkad,"Thank you, Samir. Let me start by wishing all of you a very happy new year. Our workforce at the end of the third quarter was 603,305. LTM attrition in IT services was 13.3%, down 1.6% sequentially, in our comfort range of 11% to 14%. TCS has always been firm in its commitment to the holistic growth and development of its employees and invest in organic talent development to build newer capabilities. We have commenced fresher hiring from campuses and continue to recalibrate our lateral hiring, focusing more on utilizing the capacity that we've already built in the prior years. Our business imperative remains nurturing and developing human capital and enhanced focus on reskilling and upskilling our employees. We have accelerated the rate of learning in the organization as we gear up to fulfil the opportunity on the horizon. YTD, TCSers have logged 39.7 million learning hours and acquired 3.7 million competencies, including over 515,000 high demand competencies. Our workforce continues to be very diverse with 153 nationalities, with women making up 35.7% of the base. Over to you NGS for some color on segments and products."
TS_EC_Q3_FY2024_0014,14,N G Subramaniam,"Thank you, Milind. Happy New Year and Sankranti wishes to all of you. Let me walk you through our segmental performance. As a reminder, all growth numbers are in Y-o-Y constant currency terms. Growth was led by the Energy, Resources and Utilities vertical which grew +11.8%, Manufacturing which grew +7.0% and Life Sciences and Healthcare which grew +3.1%. Our Consumer Business Group grew by -0.3%. Banking, Financial Services and Insurance grew by -3.0%, Communications and Media by -4.9%, and Technology and Services by -5.0%. Among major markets, the United Kingdom led with +8.1% growth, Continental Europe grew +0.5% and North America grew -3.0%. In emerging markets, India led with +23.4% growth, Middle East & Africa grew +16.0%, Latin America grew +13.2%, and Asia Pacific grew 3.9%. Let me move on to our products and platforms. Our industry-leading portfolio of products and platforms saw good traction during the quarter. ignio™, our cognitive automation software suite, saw 27 new deal wins and 6 go-lives. TCS BaNCS™, our flagship product for financial services, had 6 new wins and 3 go-lives during the quarter. ASX, Australia’s primary securities exchange selected TCS to provide a next generation clearing and settlement platform to service the Australian market. TCS’s flagship product TCS BaNCS for Market Infrastructure will enable the transformation, replacing ASX’s existing platform for cash equities clearing and settlement. A top Japanese Bank, providing custody and fund accounting services to some of the largest investment managers, insurance companies, and pension funds, has awarded a contract to TCS for its BaNCS solution to offer best-in-class asset servicing solution on the cloud. TCS BaNCS insurance platform continues to see strong growth in Q3 with 4 go-lives during the quarter. Quartz blockchain platform had 1 win and 1 go-live this quarter. In life sciences, the TCS ADD™ platform had 1 new win and 2 go-lives this quarter. A US based global pharma company has chosen TCS ADD™ regulatory platform for transforming health authority submissions and responses using historic data. The solution will help in planning at a milestone-task-component level, and will also include features such as automated alerts and notifications, a rich and easy-to-use reporting dashboard and visualization. TCS HOBS, our suite of products for communication service providers, had 1 new win and 2 go-lives during the quarter. TCS iON, our platform for digital assessment, exam administration, and learning, had 32 new wins. Our platform administered assessments for 14.5 million candidates, 160% higher year-on-year, led by growing adoption of regional languages in the exams. Skilling and job creation is high on the agenda of India’s state and central governments, driving growth in our assessment business. TCS TwinX, our digital twin solution, had 4 wins and 3 go-lives. We were engaged by a major North American package delivery company to construct their delivery network twin to analyze parcel delivery operations for their North American customers. As part of this engagement, TCS TwinX is enabling a “Twin of Twins” to map their existing parcel volumes and flows across their existing network of hubs, run experiments on change in parcel volumes across these routes and drive optimization of current systems and processes for efficient future planning. MasterCraft and Jile won 35 new clients in Q3. We continue to systematically invest in research, innovation and intellectual property, and ideating on new emerging technology trends to address our clients' evolving needs. Following a similar approach, we have worked extensively on building our capabilities in Gen AI, and we are confident of helping our clients to take advantage of the benefits of Gen AI. Krithi will talk more about this in his commentary. As a proof point of the success of our ongoing investments over the years, we have been able to consistently increase the number of key clients and migrate them into higher revenue bands. In Q3, we added 2 more clients Y-o-Y in the $100 million band, bringing the total to 61. Seven more clients in the $50 million band bringing the total to 137. Nine more clients in the $20 million band, bringing the total to 299. 24 more clients in the $10 million band, bringing the total to 480, 35 more clients in the $5 million band, bringing the total to 693 and 71 more clients in the $1 million-plus band bringing the total to 1,288. I'll now request Krithi to speak on the demand drivers during the quarter."
TS_EC_Q3_FY2024_0015,15,K Krithivasan,"Thank you, NGS. As we reflect on the last quarter, enterprise adaptability and resilience continued to be high priority in the light of macro uncertainties and geopolitical volatilities. This is driving our clients to prioritize business-critical projects, where return on investment realization is immediate. We are closely partnering with our clients and leveraging our contextual knowledge to proactively identify solutions to business problems in these challenging times. This is, in turn, driving good deal momentum for us. Most enterprises at the time of the pandemic invested in digital capabilities to address changing customer behaviours. In the face of macroeconomic uncertainties around fear of recession, and continued high inflation, many businesses have been cautious about further investments, creating a pent-up demand. This pent-up demand is important for long-term strategic growth for our customers, and we are optimistic that our customers will scale up these initiatives once they gain the comfort that the macro risks are receding. It's not about simply recovering previous volumes, but building strategic capabilities in a changing market landscape. We have several strategic things across industries where we know customers will scale their investments. For instance, in the consumer business, some risk transformation areas include: Point of Sale, Channels, Future Stores, Insights & Recommendations driven by AI, Supply Chain, Loyalty, Sustainability, Forecasting, Hyper-personalization, Health & Wellness, One-Order/Travel Retailing, Intelligent Operations and Transport Control Towers. Our order book in Q3 continued to be resilient with a TCV of $8.1 billion and a book-to-bill ratio of 1.1x. Our Trailing 12-month order book grew by a healthy 11.3% Y-o-Y. The TCV for our BFSI business was $2.6 billion. The order book for our consumer business group was at $1.5 billion. The TCV of deals signed in North America stood at $4.2 billion. Moving to our demand commentary, Operating Model Transformations focused on improving efficiencies, digitalization, customer and employee experience transformation, sustainability, cloud, cyber resilience and AI/Gen AI continue to be key themes, driving demand for our services. We signed several large deals in the quarter led by vendor consolidation and operating model transformation."
TS_EC_Q3_FY2024_0016,16,On vendor consolidation,"Virgin Media and O2, the UK's largest mobile network selected TCS for integrating the 2 merged entities and deliver unified employee experience across five towers. Services from 10 different partner landscapes were consolidated into one strategic partner in TCS. VMO2 trusted and selected TCS to deliver their objective of futuristic digital workplace services to delight their end users. TCS will leverage its contextual knowledge, machine-first delivery model and future-ready talent pool to help VMO2 to enhance its regional capacity while delivering a globally best-in-class experience for their users."
TS_EC_Q3_FY2024_0017,17,Moving on to Operating Model Transformation,"Our contextual knowledge has been instrumental in reimagining the client operations and the AI-powered TCS Cognix™ has been delivering superior business outcomes for our clients. Our integrated offering is receiving good traction from clients as it takes ownership for the entire stack of client operations, along with the underlying application, data estates and the IT infrastructure layer. It allows enterprises to become more agile, lower their operational costs and achieve business efficiency across multiple business units. We were selected by a leading American aerospace manufacturer to enhance and standardize their tool chain, with the objective of increasing efficiency and speed, simplifying operations, reducing costs and advancing digital transformation. The client is partnering with TCS to not only achieve system stability, but also lay the framework for the future of IT, which is key to ensuring success in its business operations."
TS_EC_Q3_FY2024_0018,18,Moving on to Growth and Transformation,"Our customers are seizing the opportunities for business growth and transformation as they present themselves. Digitalization initiatives are continuing apace as our customers double down on their focus on strengthening the Digital Core. TCS collaborated with a global fashion retailer to build a real-time data-driven sales visualizer. TCS leveraged AI and cutting-edge technologies to build a robust observability framework solution that processes data from multiple IT systems to generate insights and identify potential problem areas. 100% transparency on sales forecast and real-time omnichannel sales performance enabled through our solution is helping the client with prevention and faster resolution of issues, agility in fine-tuning our strategies for promotions in underperforming segments – regions/markets/products. Customer and Employee Experience is another area of focus with changing consumer behaviour and expectations. Customer Experience continues to remain a key priority for clients, and we have multiple deals and productive pursuits across industries. Another trend that we are seeing is CHROs doubling down on Employee Experience to improve employee engagement and productivity to create a future-ready workforce. We helped a leading North American retail company bring to life their innovative concept of presenting exclusive offers to their customers. The concept was designed to attract customers looking for promotional deals, high-profile and limited-edition exclusive offers and to smoothen the discovery experience during shopping. TCS leveraged its contextual knowledge to develop this product feature that presents an engaging and exciting interface for customers and builds an exclusive appeal. The initiative has helped attract new customers, increased the mobile app downloads, frequency of interactions and improved customer engagement. We won a first-of-its-kind deal with a tech company to sustainably enhance the employability of employees and contractors. The solution leverages our deep domain expertise and proprietary platform iON™. Our integrated offering – “Learning in a box” is a cloud-based learning platform that includes best-in-class subscription-based learning content coupled with 100-plus curated practices. The platform, which can be accessed anytime, anyplace and on any device, enables engagement, motivation, impact-oriented learning. We were selected by a leading American aerospace manufacturer to transform their end-to-end talent acquisition process. TCS will leverage its AI-led Machine-First™ operating model, process transformation framework, our domain expertise and agile methodology to enhance talent quality, optimize time to hire and improve overall onboarding experience."
TS_EC_Q3_FY2024_0019,19,Moving on to Supply Chain Transformations,"The global supply chain is rapidly evolving, trying to keep up with the dynamically changing environment and evolving technological advancements, businesses are investing in modernizing their processes, platforms, warehouses, etc. to drive better efficiency, improve agility in adapting to market shifts and improve their bottom line. We partnered with a Swiss multinational food and drink processing company to digitally transform its supply chain. TCS implemented an innovative operational planning platform that maximizes automation, optimizes and standardizes processes, and increases visibility. This will improve our clients' ability to sense and react to their ever-changing environment and On Time and In Full (OTIF) deliveries – key to customer satisfaction. A leading UK supermarket chain also partnered with TCS to enhance its supply chain efficiency, improve logistics forecast accuracy and availability, improve collaboration with suppliers and transparency, while reducing operating costs. The solution resulted in significant reduction of waste and markdown, improvement in lead time, and increased stock record accuracy, and annualized reduction of stock through automated ordering."
TS_EC_Q3_FY2024_0020,20,I will be now moving on to Sustainability,"We are seeing that Sustainability is a core priority for organizations aiming to secure a resilient and responsible future and enhanced brand reputation. I'll now share a few examples of how we have played a pivotal role in assisting our clients in their sustainability journey. Clients are engaging us to develop innovative technology-led solutions with IoT, AI and advanced analytics, to reduce energy and resource consumption to measure and track green-house gas emissions across their end-to-end supply chain, reduce their carbon footprint, reduce waste, promote recycling, and report on their Sustainability initiatives. Based on our deep contextual knowledge, the TCS team proactively proposed a solution to reduce wastage in inventory of high-cost drugs for a leading Canadian food and pharmacy retailer. The automated inventory management has been a big contributor to our client sustainability efforts in reducing the environmental impact of medical waste, improve operational efficiency and reduced over 90% of the financial loss on account of wasted inventory. We have also partnered with Metcash, one of Australia's largest wholesale distribution and marketing company to support their sustainability reporting. By leveraging a global team of experts specialized in sustainability, sustainability tools and GRI standards, TCS provided a deep understanding of materiality assessment, disclosures and index benchmarking across industry peers. A leading UK retailer, also partnered with us as a strategic partner in their Digital Product Passport (DPP) initiative. TCS will leverage its deep fashion domain expertise with investments in Sustainability research, contextual knowledge and advisory capabilities to design and implement unique identifiers linked to products. This will help the retailer maintain its lead in sustainable fashion, adhere to emerging country-specific legislation across the EU and enable sustainable choices. Now moving on to Generative AI, which is a disruptive technology that has potential to enhance efficiency and drive significant value, is generating tremendous interest among our clients. We are taking an early lead in Gen AI capabilities. We are focused on strengthening our expertise and evolving our capabilities further. Let me give you a few examples of what we are doing. We have launched Gen AI offerings around industry value chains, SDLC reimagination, responsible AI frameworks and invested in several centers of excellence, innovation labs to develop, accelerated frameworks and assets. We launched a new Cyber Insights Platform, which focuses on AI-powered threat detection. It is enhanced with machine learning models to help continuously monitor anomalies, predict potential issues well in advance and help clients to be proactive in addressing increasing threats. Our Products and Platforms are also being enhanced with differentiating capabilities leveraging Gen AI. We have built a co-pilot for TCS Optumera™, our AI-powered retail strategic intelligence platform, for dynamic competitive pricing, new product trends, design and testing, visual merchandising, visual merchandising recommendations, and product attribute enrichment. In Life Sciences, the TCS Advanced Drug Discovery is being enhanced with literature insights, patient insights, safety case processing and medical writing. TCS TwinX’s digital twin powered experimentation and zero-touch marketing operations for CMO’s. We continue to further deepen our expertise in Gen AI. This quarter, we launched a platform for skilled practitioners amongst TCS employees for exploration and experimentation on various Gen AI platforms. We are seeing strong interest levels and engagement from customers on Gen AI. Currently we are working with several clients on improving customer contact centres (e.g., assistance with intent analysis and recommendations), and employee assistants (e.g., crew support, sales support, factory operations, HR policies support & operational manuals). Generating insights from legal contracts / construction design etc., product / marketing content generation are other key areas being explored. Further, exploration in the form of POCs is underway in several areas across the value chain. And product marketing, content generation are other key areas being explored. Further exploration in the form of POC's is underway in several areas across the value chain. A leading European bank is employing Gen AI to bolster eCommunication surveillance and compliance regulatory framework. The solution will enable real-time risk and anomaly detection and evaluate patterns and emotional tone of internal communication for potential issues. A leading US airline has partnered with us in expanding their loyalty program by reaching out to passionate marathoners, a niche breed of endurance and features known to travel frequently and across the globe. The innovative concept leverages Gen AI to enable meaningful engagement with loyalty members for the event, and offers them dynamically curated deals for future events. A global insurance company has selected TCS to develop a Gen AI application to assist analysts in the front office for its global wealth and asset management division. The solution leverages a suite of LLMs to provide comprehensive and easy to understand information from unstructured data sources related to world events, company updates, and portfolio composition. Services include summarizing earnings reports, earnings report review, industry and market trends, ratings, commentary, etc. We have engaged with clients for setting up Gen AI Centers of Excellence or AI offices and providing advisory services to scale proven use cases in a controlled fashion."
TS_EC_Q3_FY2024_0021,21,Coming to Cloud technologies,"The investment that companies have made or are making in transitioning to cloud have become more meaningful with time. The increasing demand for smart interconnected devices, real-time insights and innovation will continue to drive the demand for scalable computing resources, making cloud transformation a strategic imperative. The focus now is also on fine-tuning strategies and optimizing consumption. Here are a few examples of how TCS continues to partner with clients in their cloud transformation journeys. Halfords, a UK based retailer was looking for ways to simplify the customer journey while making its products and services affordable. Taking a ‘mobile-first, cloud-first’ approach, the retailer collaborated with us to consolidate and migrate its critical applications to public cloud. Our client is all set for growth with this cloud transformation to deliver a ‘customer-first experience’ that promises significant cost savings among other benefits. We implemented the core operations system covering Crew Management and Operations Control for Virgin Atlantic, a leading British Airline. The program involved implementation of AIMS aero product and integration of several mission-critical systems. Being the nerve center of airline operations, the implementation had to be 100% accurate to avoid any delay or cancellation of flights. The program will ensure better crew and on-time performance of Virgin Atlantic flights. We are continuing to see significant demand in areas like cloud migration and transformation, apart from the exuberance around Gen AI, all of which represent areas of great opportunity for the long term. We can now open the lines for questions."
TS_EC_Q3_FY2024_0022,22,Moderator,We have a first question from the line of Sudheer Guntupalli from Kotak Mahindra Asset Management. Please go ahead.
TS_EC_Q3_FY2024_0023,23,Sudheer Guntupalli,"Yes. Thanks for the opportunity and congratulations on good execution. First question is to Samir, in general, companies start cost actions with a bit of lag from the point of demand deterioration, and there will be a further lag for those actions to translate into margin expansion. Also, attrition and supply tightness in the market cooled off significantly from where it was 12 to 15 months ago. So, if we see these two facts in conjunction, Samir, is it fair to say that the margin improvement cycle has just started and it has more legs to go, despite headwinds from some of the large deal ramp ups?"
TS_EC_Q3_FY2024_0024,24,Samir Seksaria,"We had clarified last quarter, and earlier, that we’ll look at margins on a portfolio basis, and large deal ramp-ups should not be viewed in isolation. And the margins we have delivered this quarter, is something which we are very happy about. We delivered a 70 basis points improvement on a back of 110 basis points improvement that we had in the previous quarter."
TS_EC_Q3_FY2024_0025,25,Sudheer Guntupalli,"And my second question is to Krithi, on the recovery leg. Historically, the sector had not seen more than 3 to 4 consecutive bad quarters as long as the tightening of client spend was led by just weak macro and the underlying technology cycle remaining supportive, maybe because of the base effect or quasi cyclical nature of the industry. So, going by this heuristic, Krithi, do you think it's fair to expect a good recovery going ahead, even as second guessing some of these variables like interest rates, etc., is difficult? Or is there a reason for you to believe that the current spending tightness might also be a function of excess investments in technology that happened during COVID and hence, the tightness may continue for some more time, something like what we had seen in the aftermath of the dot-com period."
TS_EC_Q3_FY2024_0026,26,K Krithivasan,"Sudheer, we have not observed that particular heuristic maybe it's something that makes us also feel optimistic. But the way we look at it, while there was a lot of investment that happened during the pandemic, at the time of peak uncertainty, our customers are now re-evaluating the investments they have made. And wherever it's required, clients are pausing those investments, where they think it's yielding RoI, they're continuing with it. Having said that, we also believe that even though they might have made a lot of investment, there are many organizations still are laden with lot of technology debt. And once there is a certainty, clients will start spending to reduce this technology debt. So, we are hoping that once that certainty comes in, spending will also return. But I won't be able to predict based on past trends that it's never been more than 3 or 4 consecutive bad quarters. That would be not the heuristic that we have observed or something that we want to go by."
TS_EC_Q3_FY2024_0027,27,Sudheer Guntupalli,Okay. Thank you so much.
TS_EC_Q3_FY2024_0028,28,Moderator,We have our next question from the line of Vibhor Singhal from Nuvama Equities.
TS_EC_Q3_FY2024_0029,29,Vibhor Singhal,"Hi, thanks for taking my question and congrats on a great margin performance. I've got two questions. The first question for Samir. I think we got a very solid margin performance in this quarter. And as you rightly said after another solid performance that was in the last quarter. Is it safe to say that our aspirational band of 26% to 28% margin that we've long talked about is maybe no longer aspirational and there are ways that in near to medium term future, there are possibilities that we can probably work towards that. Is there a possibility that we are looking -- I mean, are the levers that you see that are still underutilized that can help us reach that band, and I'll ask my second question later."
TS_EC_Q3_FY2024_0030,30,Samir Seksaria,"Sure, Vibhor. We remain committed to our guiding beacon, which is the 26% to 28%. And in doing so, we are focused on a disciplined execution and look forward to driving operational excellence and the levers which we have been banking upon so far, whether it's in terms of productivity, utilization, realization, etc. or given the demand environment which we have seen, banking on the subcontractor cost optimization – are also available. So, we have been able to leverage them, and they provide further opportunities for optimization. And in the long term, pricing also remains a lever, which we can further optimize. All of it in an environment where growth is sustained, will only help accelerate our momentum."
TS_EC_Q3_FY2024_0031,31,Vibhor Singhal,"Got it. Thanks a lot for answering that. My next question is to Krithi. I think the deal flow in this quarter was a bit on the softer side. We, of course, know this is a seasonally soft quarter. But on a Y-on-Y basis also, I think the growth in the deal flow was a bit modest. So, any specific thing to call out? Or was it just that it was a soft quarter with higher furloughs, and the overall demand environment in your opinion or the client interest, have we seen a change in that in the last three months?"
TS_EC_Q3_FY2024_0032,32,K Krithivasan,"We don’t consider the TCV as soft, it's in line. The TCV in the prior quarter, had two mega deals and so it had the lumpiness. So, we will not be able to measure TCV, the same way we measure revenue. So, there will be some ups and downs. But overall, we look at the pipeline and we look at the deals that we close and geographical spread and the size of the deals and the type of deals, and we are quite comfortable with the deals that we are getting in. We aren't seeing a softness on that front at all."
TS_EC_Q3_FY2024_0033,33,Vibhor Singhal,"Got it. And no change in the overall demand environment that we are seeing, right? And in terms of either for the positive or for the negative side, it's pretty much the same as we have been seeing."
TS_EC_Q3_FY2024_0034,34,K Krithivasan,Yes. That's the way I would also read it Vibhor.
TS_EC_Q3_FY2024_0035,35,Moderator,Thank you. We have a next question from the line of Sandeep Shah from Equirus Securities. Please go ahead.
TS_EC_Q3_FY2024_0036,36,Sandeep Shah,"Krithi, I think you might have answered the question indirectly, but any of your discussions with any of your clients in any of the verticals or markets, give you any indication of any emerging green shoots in terms of the demand because of the Fed meeting where consensus now believes that the U.S. economy could have a soft landing as a base scenario versus a recessionary outlook, which people were predicting earlier."
TS_EC_Q3_FY2024_0037,37,K Krithivasan,"Sandeep, you know that already some of our verticals are doing quite well. For instance, manufacturing, we've been reporting growth. Energy, resources and utilities have been reporting good growth. And even Life sciences and healthcare, despite last quarter being weak, has again returned to growth. And we've also been seeing our consumer business group (CBG) has been quite promising, and we started seeing some green shoots in consumer business, but we'll be able to say for sure next quarter, but it looks quite promising."
TS_EC_Q3_FY2024_0038,38,Sandeep Shah,That is helpful. And any initial color in terms of CY '24 budgets?
TS_EC_Q3_FY2024_0039,39,K Krithivasan,"There are two things, Sandeep. One is we have not heard any specific color. And two, given the overall uncertainty, we find our clients are also very agile, even though they may have some thought in terms of what they want to spend, but we find that they also keep reacting to the market sentiment. So, there's a whole budget - on which projects started, or which ones got paused, it will be a very dynamic decision. So, we don't want to read too much into that aspect."
TS_EC_Q3_FY2024_0040,40,Sandeep Shah,And any update in terms of how the BSNL deals ramp-up continue to remain over four to six quarters?
TS_EC_Q3_FY2024_0041,41,N G Subramaniam,"We have started to deliver the equipments and services for BSNL. And as I explained in the previous quarters, we are approaching it from zones and circles in which we have to roll it out. We have taken up the North zone as the first milestone, and we have started to deliver equipment and services by rolling out the new radios that are stated to be delivered to BSNL in a few circles. The data center in which the whole evolved packet core needs to be installed and operationalized that's also been progressing well. So overall, I would say that this is the first quarter where we have delivered close to about, I would say, 2,000 sites worth of equipment, and they are in the different stages of installation and commissioning. At the same time, the data centers installations are all progressing as per plan. And it will get done over the next, let's say, four to six quarters as we envisage."
TS_EC_Q3_FY2024_0042,42,Sandeep Shah,"Okay. Thanks. And last question, I just wanted to understand on margin levers. I think CFO has called out various margin levers but is it fair to assume in each of these levers, there would be further headroom to improve further because subcontracting cost is even lower than where we actually were during the pre-COVID times."
TS_EC_Q3_FY2024_0043,43,Samir Seksaria,"True, Sandeep. As I said, depending on how the demand environment continues, optimization of subcontracting cost could be one of the levers, in addition to the other levers which we called out. Overall, as we have said, our long-term cost structures are aligned for us to reach our aspirational band of 26% to 28%."
TS_EC_Q3_FY2024_0044,44,Moderator,Thank you. We have a next question from the line of Kumar Rakesh from BNP Paribas. Please go ahead.
TS_EC_Q3_FY2024_0045,45,Kumar Rakesh,"My First question was for Krithi. In your prepared remarks, you talked about the pent-up demand. So where are you seeing the signs of that? And what do you think would be the trigger for that to materialize?"
TS_EC_Q3_FY2024_0046,46,K Krithivasan,"No, like I did also give out certain examples. For instance, if you just take the consumer business is a channel modernization or store modernization. So, we talked about a few areas where we find that investment has not kept up pace with the requirement, business demand. So that's what is giving us that confidence, Kumar."
TS_EC_Q3_FY2024_0047,47,Kumar Rakesh,And what would be the catalyst for that to materialize when clients eventually somewhat start to spend on the pent up demand again?
TS_EC_Q3_FY2024_0048,48,K Krithivasan,"Catalyst would be, I would say that when they have a confidence about the stability of the overall macros, Kumar. Once they are confident that the environment is good, the investments will come in."
TS_EC_Q3_FY2024_0049,49,Kumar Rakesh,"Got it. My second question was you have talked about market share gain and benefiting from vendor consolidation. So apart from your scale advantage, what is helping you to be the beneficiary of these trends?"
TS_EC_Q3_FY2024_0050,50,K Krithivasan,"Scale advantage is only one thing, Kumar. The most important advantage is the domain capability, contextual knowledge we bring in into each of these solutions. For a vendor consolidation to be successful, you should bring in the value for the customer, in terms of the contextual knowledge, the industry knowledge in terms of delivery certainty. So, all these things matter. And the process that you want to deploy. So, what is your ability to bring in automation, your transformational capability, etc. So, you should be able to do everything. Just because we have a scale advantage, we don't win. We win because we have all the other advantages in giving a long-term sustained value for our customers."
TS_EC_Q3_FY2024_0051,51,Moderator,Thank you. We have a next question from the line of Manik Taneja from Axis Capital. Please go ahead.
TS_EC_Q3_FY2024_0052,52,Manik Taneja,"Congratulations once again for the strong performance on margins. Just wanted to prod you further with regards to the subcontracting expenses, which are now below pre-COVID levels. Is there something structural that we are doing to our delivery organization because of which these expenses have now reduced to a much lower level. Would appreciate some commentary on that front?"
TS_EC_Q3_FY2024_0053,53,Samir Seksaria,"Manik, one is for subcontractors, we have been using them to meet the short-term demand-supply mismatch. And it peaked because one there were border restrictions. And second, there were these entire challenges, etc. which were happening in a higher demand environment. And we have explained that in terms of why those scenarios arose. Now as the supply side challenges of attrition cooled off, and we had invested into capacity. That is how we can manage the demand. And when we don't require those intermediate ones is when we are optimizing our use of subcontractors, and yes, the cost is below the pandemic levels as well. And that has been thought through strategically, and you could see that it is reducing sequentially quarter-over-quarter for past few quarters."
TS_EC_Q3_FY2024_0054,54,Moderator,We have our next question from the line of Gaurav Rateria from Morgan Stanley. Please go ahead.
TS_EC_Q3_FY2024_0055,55,Gaurav Rateria,"Hi, Thanks for taking my question. So, first question is with respect to, is there any difference in the TCV growth trends versus ACV growth trends because of the deal tenures changing compared to what you saw last year? Or it's largely been similar to no material change there?"
TS_EC_Q3_FY2024_0056,56,K Krithivasan,"We don't see any trend, that kind of change. The TCV trend in terms of tenure continues to be consistent with what we saw before as well."
TS_EC_Q3_FY2024_0057,57,Gaurav Rateria,"Got it. The second question is on the levers for margins that helped during the quarter, you did talk about realization and productivity. So, the general perception is that in a tough environment, it's very difficult to use a lever of realization, but you have been able to do that. Is there anything going on with respect to client negotiations that has been helping you to benefit on margins? And is there a -- like this is over or this is going to continue in coming quarters as well?"
